code;denomination
4.01.04.50.00;Bonificación al personal de alto nivel y de dirección
4.01.04.51.00;Bono compensatorio de alimentación al personal de alto nivel y de dirección
4.01.04.52.00;Bono compensatorio de transporte al personal de alto nivel y de dirección
4.01.04.53.00;Complementos a obreros por el uso de su equipo de transporte en el desempeño de su trabajo
4.01.04.54.00;Complemento al personal contratado por trabajo o jornada nocturna
4.01.04.55.00;Complemento al personal contratado por gastos de transporte
4.01.04.94.00;Otros complementos a altos funcionarios y altas funcionarias del sector público y de elección popular
4.01.04.95.00;Otros complementos al personal de alto nivel y de dirección
4.01.04.96.00;Otros complementos al personal empleado
4.01.04.97.00;Otros complementos al personal obrero
4.01.04.98.00;Otros complementos al personal contratado
4.01.04.99.00;Otros complementos al personal militar
4.01.05.00.00;Aguinaldos, utilidades o bonificación jurídica, y bono vacacional
4.01.05.01.00;Aguinaldos al personal empleado
4.01.05.02.00;Utilidades al personal empleado
4.01.05.03.00;Bono vacacional al personal empleado
4.01.05.04.00;Aguinaldos al personal obrero
4.01.05.05.00;Utilidades al personal obrero
4.01.05.06.00;Bono vacacional al personal obrero
4.01.05.07.00;Aguinaldos al personal contratado
4.01.05.08.00;Bono vacacional al personal contratado
4.01.05.09.00;Aguinaldos al personal militar
4.01.05.10.00;Bono vacacional al personal militar
4.01.05.13.00;Aguinaldos a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.05.14.00;Utilidades a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.05.15.00;Bono vacacional a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.05.16.00;Aguinaldos al personal de alto nivel y de dirección
4.01.05.17.00;Utilidades al personal de alto nivel y de dirección
4.01.05.18.00;Bono vacacional al personal de alto nivel y de dirección
4.01.06.00.00;Aportes patronales
4.01.06.01.00;Aporte patronal al Instituto Venezolano de los Seguros Sociales (I.V.S.S.) al personal empleado
4.01.06.02.00;Aporte patronal al Instituto de Previsión y Asistencia Social para el personal del Ministerio de Educación (IPASME) al personal empleado
4.01.06.03.00;Aporte patronal al Fondo de Jubilaciones al personal empleado
4.01.06.04.00;Aporte patronal al Fondo Contributivo del Régimen Prestacional de Empleo al personal empleado
4.01.06.05.00;Aporte patronal al Fondo de Ahorro Obligatorio para la Vivienda al personal empleado
4.01.06.06.00;Aporte patronal al Instituto Nacional de Capacitación y Educación Socialista (Inces) al personal empleado
4.01.06.10.00;Aporte patronal al Instituto Venezolano de los Seguros Sociales (I.V.S.S.) al personal obrero
4.01.06.11.00;Aporte patronal al Fondo de Jubilaciones al personal obrero
4.01.06.12.00;Aporte patronal al Fondo Contributivo del Régimen Prestacional de Empleo al personal obrero
4.01.06.13.00;Aporte patronal al Fondo de Ahorro Obligatorio para la Vivienda al personal obrero
4.01.06.14.00;Aporte patronal al Instituto Nacional de Capacitación y Educación Socialista (Inces) al personal obrero
4.01.06.18.00;Aporte patronal a los organismos de seguridad social al personal empleado local, en las representaciones de Venezuela en el exterior
4.01.06.19.00;Aporte patronal al Fondo de Ahorro Obligatorio para la Vivienda por personal militar
4.01.06.25.00;Aporte legal al Instituto Venezolano de los Seguros Sociales (IVSS) por personal contratado
4.01.06.26.00;Aporte patronal al Fondo de Ahorro Obligatorio para la Vivienda por personal contratado
4.01.06.27.00;Aporte patronal al Fondo Contributivo del Régimen Prestacional de Empleo al personal contratado
4.01.06.28.00;Aporte patronal al Fondo de Jubilaciones por personal contratado
4.01.06.29.00;Aporte patronal al Instituto Nacional de Capacitación y Educación Socialista (Inces) por personal contratado
4.01.06.31.00;Aporte patronal al Instituto Venezolano de los Seguros Sociales (IVSS) por altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.06.32.00;Aporte patronal al Instituto de Previsión y Asistencia Social para el personal del Ministerio de Educación (Ipasme) por altos funcionarios y altas funcionarias del poder público
4.01.06.33.00;Aporte patronal al Fondo de Jubilaciones por altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.06.34.00;Aporte patronal al Fondo de Ahorro Obligatorio para la Vivienda por altos funcionarios y altas funcionarias del poder público y de elección  popular
4.01.06.35.00;Aporte patronal al Fondo Contributivo del Régimen Prestacional de Empleo por altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.06.39.00;Aporte patronal al Instituto Venezolano de los Seguros Sociales (IVSS) por personal de alto nivel y de dirección
4.01.06.40.00;Aporte patronal al Instituto de Previsión y Asistencia Social para el personal del Ministerio de Educación (Ipasme) por personal de alto nivel y de dirección
4.01.06.41.00;Aporte patronal al Fondo de Jubilaciones por personal de alto nivel y de dirección
4.01.06.42.00;Aporte patronal al Fondo de Ahorro Obligatorio para la Vivienda por personal de alto nivel y de dirección
4.01.06.43.00;Aporte patronal al Fondo Contributivo del Régimen Prestacional de Empleo por personal de alto nivel y de dirección
4.01.06.44.00;Aporte patronal al Instituto Nacional de Capacitación y Educación Socialista (Inces) por personal de alto nivel y de dirección
4.01.06.93.00;Otros aportes patronales por altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.06.94.00;Otros aportes patronales por el personal de alto nivel y de dirección
4.01.06.95.00;Otros aportes patronales por personal contratado
4.01.06.96.00;Otros aportes patronales al personal empleado
4.01.06.97.00;Otros aportes patronales al personal obrero
4.01.06.98.00;Otros aportes patronales por personal militar
4.01.07.00.00;Asistencia socio-económica
4.01.07.01.00;Capacitación y adiestramiento al personal empleado
4.01.07.02.00;Becas al personal empleado
4.01.07.03.00;Ayudas por matrimonio al personal empleado
4.01.07.04.00;Ayudas por nacimiento de hijos e hijas al personal empleado
4.01.07.05.00;Ayudas por defunción al personal empleado
4.01.07.06.00;Ayudas para medicinas, gastos médicos, odontológicos y de hospitalización al personal empleado
4.01.07.07.00;Aporte patronal a cajas de ahorro al personal empleado
4.01.07.08.00;Aporte patronal a los servicios de salud, accidentes personales y gastos funerarios al personal empleado
4.01.07.09.00;Ayudas al personal empleado para adquisición de uniformes y útiles escolares de sus hijos e hijas
4.01.07.10.00;Dotación de uniformes al personal empleado
4.01.07.11.00;Aporte patronal para gastos de guarderías y preescolar para hijos e hijas del personal empleado
4.01.07.12.00;Aportes para la adquisición de juguetes para los hijos e hijas del personal empleado
4.01.07.17.00;Capacitación y adiestramiento al personal obrero
4.01.07.18.00;Becas al personal obrero
4.01.07.19.00;Ayudas por matrimonio al personal obrero
4.01.07.20.00;Ayudas por nacimiento de hijos e hijas al personal obrero
4.01.07.21.00;Ayudas por defunción al personal obrero
4.01.07.22.00;Ayudas para medicinas, gastos médicos, odontológicos y de hospitalización al personal obrero
4.01.07.23.00;Aporte patronal a cajas de ahorro al personal obrero
4.01.07.24.00;Aporte patronal a los servicios de salud, accidentes personales y gastos funerarios al personal obrero
4.01.07.25.00;Ayudas al personal obrero para adquisición de uniformes y útiles escolares de sus hijos e hijas
4.01.07.26.00;Dotación de uniformes al personal obrero
4.01.07.27.00;Aporte patronal para gastos de guarderías y preescolar para hijos e hijas del personal obrero
4.01.07.28.00;Aportes para la adquisición de juguetes para los hijos e hijas del personal obrero
4.01.07.29.00;Ayudas por hijos e hijas con necesidades especiales al personal empleado
4.01.07.30.00;Ayudas por hijos e hijas con necesidades especiales al personal obrero
4.01.07.31.00;Ayudas por hijos e hijas con necesidades especiales al personal contratado
4.01.07.32.00;Ayudas por hijos e hijas con necesidades especiales al personal de alto nivel y de dirección
4.01.07.33.00;Ayudas por hijos e hijas con necesidades especiales al personal militar
4.01.07.34.00;Capacitación y adiestramiento al personal militar
4.01.07.35.00;Becas al personal militar
4.01.07.36.00;Ayudas por matrimonio al personal militar
4.01.07.37.00;Ayudas por nacimiento de hijos e hijas al personal militar
4.01.07.38.00;Ayudas por defunción al personal militar
4.01.07.39.00;Ayudas para medicinas, gastos médicos, odontológicos y de hospitalización al personal militar
4.01.07.40.00;Aporte patronal a caja de ahorro por personal militar
4.01.07.41.00;Aporte patronal a los servicios de salud, accidentes personales y gastos funerarios personal militar
4.01.07.42.00;Ayudas al personal militar para adquisición de uniformes y útiles escolares de sus hijos e hijas
4.01.07.43.00;Aportes para la adquisición de juguetes para los hijos e hijas del personal militar
4.01.07.44.00;Aporte patronal para gastos de guarderías y preescolar para hijos e hijas del personal militar
4.01.07.52.00;Capacitación	y	adiestramiento	a	altos	funcionarios	y	altas funcionarias del poder público y de elección popular
4.01.07.53.00;Ayudas por matrimonio a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.54.00;Ayudas por nacimiento de hijos e hijas altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.55.00;Ayudas por defunción a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.56.00;Ayudas para medicinas, gastos médicos, odontológicos y de hospitalización a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.57.00;Aporte patronal a cajas de ahorro por altos funcionarios y altas funcionarias del poder público y de elección popular.
4.01.07.58.00;Aporte patronal a los servicios de salud, accidentes personales y gastos funerarios por altos funcionarios y altas funcionarias del poder público y de elección popular.
4.01.07.59.00;Becas a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.60.00;Ayudas a altos funcionarios y altas funcionarias del poder público y de elección popular para adquisición de uniformes y útiles escolares de sus hijos e hijas
4.01.07.61.00;Aporte patronal para gastos de guarderías y preescolar para hijos e hijas de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.62.00;Aportes para la adquisición de juguetes para los hijos e hijas de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.63.00;Capacitación y adiestramiento al personal de alto nivel y de dirección
4.01.07.64.00;Ayudas por matrimonio al personal de alto nivel y de dirección
4.01.07.65.00;Ayudas por nacimiento de hijos e hijas al personal de alto nivel y de dirección
4.01.07.66.00;Ayudas por defunción al personal de alto nivel y de dirección
4.01.07.67.00;Ayudas para medicinas, gastos médicos, odontológicos y de hospitalización al personal de alto nivel y de dirección
4.01.07.68.00;Aporte patronal a cajas de ahorro por personal de alto nivel y de dirección
4.01.07.69.00;Aporte patronal a los servicios de salud, accidentes personales y gastos funerarios por personal de alto nivel y de dirección
4.01.07.70.00;Ayudas al personal de alto nivel y de dirección para adquisición de uniformes y útiles escolares de sus hijos e hijas
4.01.07.71.00;Aportes para la adquisición de juguetes para los hijos e hijas del personal de alto nivel y de dirección.
4.01.07.72.00;Becas al personal de alto nivel y de dirección
4.01.07.73.00;Aporte patronal para gastos de guarderías y preescolar para hijos e hijas del personal de alto nivel y de dirección
4.01.07.74.00;Capacitación y adiestramiento al personal contratado
4.01.07.75.00;Becas al personal contratado
4.01.07.76.00;Ayudas por matrimonio al personal contratado
4.01.07.77.00;Ayudas por nacimiento de hijos e hijas al personal contratado
4.01.07.78.00;Ayudas por defunción al personal contratado
4.01.07.79.00;Ayudas para medicinas, gastos médicos, odontológicos y de hospitalización al personal contratado
4.01.07.80.00;Aporte patronal a cajas de ahorro por personal contratado
4.01.07.81.00;Aporte patronal a los servicios de salud, accidentes personales y gastos funerarios por personal contratado
4.01.07.82.00;Ayudas al personal contratado para adquisición de uniformes y útiles escolares de sus hijos e hijas
4.01.07.83.00;Dotación de uniformes al personal contratado
4.01.07.84.00;Aporte patronal para gastos de guarderías y preescolar para hijos e hijas del personal contratado
4.01.07.85.00;Aportes para la adquisición de juguetes para los hijos e hijas del personal contratado
4.01.07.86.00;Ayudas especiales asignadas al personal empleado 
4.01.07.87.00;Ayudas especiales asignadas al personal obrero
4.01.07.88.00;Ayudas especiales asignadas al personal contratado 
4.01.07.89.00;Ayudas especiales asignadas al personal militar
4.01.07.90.00;Ayudas especiales asignadas al personal de alto nivel y dirección
4.01.07.91.00;Ayudas especiales asignadas para altos funcionarios y altas funcionarias del poder público y de elección popular.
4.01.07.92.00;Ayudas por hijos e hijas con necesidades especiales para altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.94.00;Otras subvenciones a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.07.95.00;Otras subvenciones al personal de alto nivel y de dirección
4.01.07.96.00;Otras subvenciones al personal empleado
4.01.07.97.00;Otras subvenciones al personal obrero
4.01.07.98.00;Otras subvenciones al personal militar
4.01.07.99.00;Otras subvenciones al personal contratado
4.01.08.00.00;Prestaciones sociales e indemnizaciones
4.01.08.01.00;Prestaciones sociales e indemnizaciones al personal empleado
4.01.08.02.00;Prestaciones sociales e indemnizaciones al personal obrero
4.01.08.03.00;Prestaciones sociales e indemnizaciones al personal contratado
4.01.08.04.00;Prestaciones sociales e indemnizaciones al personal militar
4.01.08.06.00;Prestaciones sociales e indemnizaciones a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.08.07.00;Prestaciones sociales e indemnizaciones al personal de alto nivel y de dirección
4.01.09.00.00;Capacitación y adiestramiento realizado por personal del organismo
4.01.09.01.00;Capacitación y adiestramiento realizado por personal del organismo
4.01.93.00.00;Otros gastos del personal contratado
4.01.93.01.00;Otros gastos del personal contratado
4.01.94.00.00;Otros gastos de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.94.01.00;Otros gastos de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.95.00.00;Otros gastos del personal de alto nivel y de dirección
4.01.95.01.00;Otros gastos del personal de alto nivel y de dirección
4.01.96.00.00;Otros gastos del personal empleado
4.01.96.01.00;Otros gastos del personal empleado
4.01.97.00.00;Otros gastos del personal obrero
4.01.97.01.00;Otros gastos del personal obrero
4.01.98.00.00;Otros gastos del personal militar
4.01.98.01.00;Otros gastos del personal militar
4.02.00.00.00;MATERIALES, SUMINISTROS Y MERCANCÍAS
4.02.01.00.00;Productos alimenticios y agropecuarios
4.02.01.01.00;Alimentos y bebidas para personas
4.02.01.02.00;Alimentos para animales
4.02.01.03.00;Productos agrícolas y pecuarios
4.02.01.04.00;Productos de la caza y pesca
4.02.01.99.00;Otros productos alimenticios y agropecuarios
4.02.02.00.00;Productos de minas, canteras y yacimientos
4.02.02.01.00;Carbón mineral
4.02.02.02.00;Petróleo crudo y gas natural
4.02.02.03.00;Mineral de hierro
4.02.02.04.00;Mineral no ferroso
4.02.02.05.00;Piedra, arcilla, arena y tierra
4.02.02.06.00;Mineral para la fabricación de productos químicos
4.02.02.07.00;Sal para uso industrial
4.02.02.99.00;Otros productos de minas, canteras y yacimientos
4.02.03.00.00;Textiles y vestuarios
4.02.03.01.00;Textiles
4.02.03.02.00;Prendas de vestir
4.02.03.03.00;Calzados
4.02.03.99.00;Otros productos textiles y vestuarios
4.02.04.00.00;Productos de cuero y caucho
4.02.04.01.00;Cueros y pieles
4.02.04.02.00;Productos de cuero y sucedáneos del cuero
4.02.04.03.00;Cauchos y tripas para vehículos
4.02.04.99.00;Otros productos de cuero y caucho
4.02.05.00.00;Productos de papel, cartón e impresos
4.02.05.01.00;Pulpa de madera, papel y cartón
4.02.05.02.00;Envases y cajas de papel y cartón
4.02.05.03.00;Productos de papel y cartón para oficina
4.02.05.04.00;Libros, revistas y periódicos
4.02.05.05.00;Material de enseñanza
4.02.05.06.00;Productos de papel y cartón para computación
4.02.05.07.00;Productos de papel y cartón para la imprenta y reproducción
4.02.05.99.00;Otros productos de pulpa, papel y cartón
4.02.06.00.00;Productos químicos y derivados
4.02.06.01.00;Sustancias químicas y de uso industrial
4.02.06.02.00;Abonos, plaguicidas y otros
4.02.06.03.00;Tintas, pinturas y colorantes
4.02.06.04.00;Productos farmacéuticos y medicamentos
4.02.06.05.00;Productos de tocador
4.02.06.06.00;Combustibles y lubricantes
4.02.06.07.00;Productos diversos derivados del petróleo y del carbón
4.02.06.08.00;Productos plásticos
4.02.06.09.00;Mezclas explosivas
4.02.06.99.00;Otros productos de la industria química y conexos
4.02.07.00.00;Productos minerales no metálicos
4.02.07.01.00;Productos de barro, loza y porcelana
4.02.07.02.00;Vidrios y productos de vidrio
4.02.07.03.00;Productos de arcilla para construcción
4.02.07.04.00;Cemento, cal y yeso
4.02.07.99.00;Otros productos minerales no metálicos
4.02.08.00.00;Productos metálicos
4.02.08.01.00;Productos primarios de hierro y acero
4.02.08.02.00;Productos de metales no ferrosos
4.02.08.03.00;Herramientas menores, cuchillería y artículos generales de ferretería
4.02.08.04.00;Productos metálicos estructurales
4.02.08.05.00;Materiales de orden público, seguridad y defensa
4.02.08.07.00;Material de señalamiento
4.02.08.08.00;Material de educación
4.02.08.09.00;Repuestos y accesorios para equipos de transporte
4.02.08.10.00;Repuestos y accesorios para otros equipos
4.02.08.99.00;Otros productos metálicos
4.02.09.00.00;Productos de madera
4.02.09.01.00;Productos primarios de madera
4.02.09.02.00;Muebles y accesorios de madera para edificaciones
4.02.09.99.00;Otros productos de madera
4.02.10.00.00;Productos varios y útiles diversos
4.02.10.01.00;Artículos de deporte, recreación y juguetes
4.02.10.02.00;Materiales y útiles de limpieza y aseo
4.02.10.03.00;Utensilios de cocina y comedor
4.02.10.04.00;Útiles menores médico - quirúrgicos de laboratorio, dentales y de veterinaria
4.02.10.05.00;Útiles de escritorio, oficina y materiales de instrucción
4.02.10.06.00;Condecoraciones, ofrendas y similares
4.02.10.07.00;Productos de seguridad en el trabajo
4.02.10.08.00;Materiales para equipos de computación
4.02.10.09.00;Especies timbradas y valores
4.02.10.10.00;Útiles religiosos
4.02.10.11.00;Materiales eléctricos
4.02.10.12.00;Materiales para instalaciones sanitarias
4.02.10.13.00;Materiales fotográficos
4.02.10.99.00;Otros productos y útiles diversos
4.02.11.00.00;Bienes para la venta
4.02.11.01.00;Productos y artículos para la venta
4.02.11.02.00;Maquinarias y equipos para la venta
4.02.11.03.00;Inmuebles para la venta
4.02.11.04.00;Tierras y terrenos para la venta
4.02.11.99.00;Otros bienes para la venta
4.02.99.00.00;Otros materiales y suministros
4.02.99.01.00;Otros materiales y suministros
4.03.00.00.00;SERVICIOS NO PERSONALES
4.03.01.00.00;Alquileres de inmuebles
4.03.01.01.00;Alquileres de edificios y locales
4.03.01.02.00;Alquileres de instalaciones culturales y recreativas
4.03.01.03.00;Alquileres de tierras y terrenos
4.03.02.00.00;Alquileres de maquinaria y equipos
4.03.02.01.00;Alquileres de maquinaria y demás equipos de construcción, campo, industria y taller
4.03.02.02.00;Alquileres de equipos de transporte, tracción y elevación
4.03.02.03.00;Alquileres de equipos de comunicaciones y de señalamiento
4.03.02.04.00;Alquileres de equipos médico - quirúrgicos, dentales y de veterinaria
4.03.02.05.00;Alquileres de equipos científicos, religiosos, de enseñanza y recreación
4.03.02.06.00;Alquileres de máquinas, muebles y demás equipos de oficina y alojamiento
4.03.02.99.00;Alquileres de otras maquinaria y equipos
4.03.03.00.00;Derechos sobre bienes intangibles
4.03.03.01.00;Marcas de fábrica y patentes de invención
4.03.03.02.00;Derechos de autor
4.03.03.03.00;Paquetes y programas de computación
4.03.03.04.00;Concesión de bienes y servicios
4.03.04.00.00;Servicios básicos
4.03.04.01.00;Electricidad
4.03.04.02.00;Gas
4.03.04.03.00;Agua
4.03.04.04.00;Teléfonos
4.03.04.04.01;Servicios de telefonía prestados por organismos públicos
4.03.04.04.02;Servicios de telefonía prestados por instituciones privadas 
4.03.04.05.00;Servicio de comunicaciones
4.03.04.06.00;Servicio de aseo urbano y domiciliario
4.03.04.07.00;Servicio de condominio
4.03.05.00.00;Servicio de administración, vigilancia y mantenimiento de los servicios básicos
4.03.05.01.00;Servicio de administración, vigilancia y mantenimiento del servicio de electricidad
4.03.05.02.00;Servicio de administración, vigilancia y mantenimiento del servicio de gas
4.03.05.03.00;Servicio de administración, vigilancia y mantenimiento del servicio de agua
4.03.05.04.00;Servicio de administración, vigilancia y mantenimiento del servicio de teléfonos
4.03.05.05.00;Servicio de administración, vigilancia y mantenimiento del servicio de comunicaciones
4.03.05.06.00;Servicio de administración, vigilancia y mantenimiento del servicio de aseo urbano y domiciliario
4.03.06.00.00;Servicios de transporte y almacenaje
4.03.06.01.00;Fletes y embalajes
4.03.06.02.00;Almacenaje
4.03.06.03.00;Estacionamiento
4.03.06.04.00;Peaje
4.03.06.05.00;Servicios de protección en traslado de fondos y de mensajería
4.03.07.00.00;Servicios de información, impresión y relaciones públicas
4.03.07.01.00;Publicidad y propaganda
4.03.07.02.00;Imprenta y reproducción
4.03.07.03.00;Relaciones sociales
4.03.07.04.00;Avisos
4.03.08.00.00;Primas y otros gastos de seguros y comisiones bancarias
4.03.08.01.00;Primas y gastos de seguros
4.03.08.02.00;Comisiones y gastos bancarios
4.03.08.03.00;Comisiones y gastos de adquisición de seguros
4.03.09.00.00;Viáticos y pasajes
4.03.09.01.00;Viáticos y pasajes dentro del país
4.03.09.02.00;Viáticos y pasajes fuera del país
4.03.09.03.00;Asignación por kilómetros recorridos
4.03.10.00.00;Servicios profesionales, técnicos y demás oficios y ocupaciones
4.03.10.01.00;Servicios jurídicos
4.03.10.02.00;Servicios de contabilidad y auditoría
4.03.10.03.00;Servicios de procesamiento de datos
4.03.10.04.00;Servicios de ingeniería y arquitectónicos
4.03.10.05.00;Servicios médicos, odontológicos y otros servicios de sanidad
4.03.10.06.00;Servicios de veterinaria
4.03.10.07.00;Servicios de capacitación y adiestramiento
4.03.10.08.00;Servicios presupuestarios
4.03.10.09.00;Servicios de lavandería y tintorería
4.03.10.10.00;Servicios de vigilancia y seguridad
4.03.10.11.00;Servicios para la elaboración y suministro de comida
4.03.10.99.00;Otros servicios profesionales y técnicos
4.03.11.00.00;Conservación y reparaciones menores de maquinaria y equipos
4.03.11.01.00;Conservación y reparaciones menores de maquinaria y demás equipos de construcción, campo, industria y taller
4.03.11.02.00;Conservación y reparaciones menores de equipos de transporte, tracción y elevación
4.03.11.03.00;Conservación	y	reparaciones	menores	de	equipos	de comunicaciones y de señalamiento
4.03.11.04.00;Conservación	y	reparaciones	menores	de	equipos	médico- quirúrgicos, dentales y de veterinaria
4.03.11.05.00;Conservación y reparaciones menores de equipos científicos, religiosos, de enseñanza y recreación
4.03.11.06.00;Conservación y reparaciones menores de equipos y armamentos de orden público, seguridad y defensa nacional
4.03.11.07.00;Conservación y reparaciones menores de máquinas, muebles y demás equipos de oficina y alojamiento
4.03.11.99.00;Conservación y reparaciones menores de otras maquinaria y equipos
4.03.12.00.00;Conservación y reparaciones menores de obras
4.03.12.01.00;Conservación y reparaciones menores de obras en bienes del dominio privado
4.03.12.02.00;Conservación y reparaciones menores de obras en bienes del dominio público
4.03.13.00.00;Servicios de construcciones temporales
4.03.13.01.00;Servicios de construcciones temporales
4.03.14.00.00;Servicios de construcción de edificaciones para la venta
4.03.14.01.00;Servicios de construcción de edificaciones para la venta
4.03.15.00.00;Servicios fiscales
4.03.15.01.00;Derechos de importación y servicios aduaneros
4.03.15.02.00;Tasas y otros derechos obligatorios
4.03.15.03.00;Asignación a agentes de especies fiscales
4.03.15.99.00;Otros servicios fiscales
4.03.16.00.00;Servicios de diversión, esparcimiento y culturales
4.03.16.01.00;Servicios de diversión, esparcimiento y culturales
4.03.17.00.00;Servicios de gestión administrativa prestados por organismos de asistencia técnica
4.03.17.01.00;Servicios de gestión administrativa prestados por organismos de asistencia técnica
4.03.18.00.00;Impuestos indirectos
4.03.18.01.00;Impuesto al valor agregado
4.03.18.02.00;Impuesto a las grandes transacciones financieras
4.03.18.99.00;Otros impuestos indirectos
4.03.19.00.00;Comisiones por servicios para cumplir con los beneficios sociales
4.03.19.01.00;Comisiones por servicios para cumplir con los beneficios sociales
4.03.99.00.00;Otros servicios no personales
4.03.99.01.00;Otros servicios no personales
4.04.00.00.00;ACTIVOS REALES
4.04.01.00.00;Repuestos, reparaciones, mejoras y adiciones mayores
4.04.01.01.00;Repuestos mayores
4.04.01.01.01;Repuestos	mayores	para	maquinaria	y	demás	equipos	de construcción, campo, industria y taller
4.04.01.01.02;Repuestos mayores para equipos de transporte, tracción y elevación
4.04.01.01.03;Repuestos	mayores	para	equipos	de	comunicaciones	y	de señalamiento
4.04.01.01.04;Repuestos mayores para equipos médico-quirúrgicos, dentales y de veterinaria
4.04.01.01.05;Repuestos	mayores	para	equipos	científicos,	religiosos,	de enseñanza y recreación
4.04.01.01.06;Repuestos mayores para equipos y armamentos de orden público, seguridad y defensa
4.04.01.01.07;Repuestos mayores para máquinas, muebles y demás equipos de oficina y alojamiento
4.04.01.01.99;Repuestos mayores para otras maquinaria y equipos
4.04.01.02.00;Reparaciones, mejoras y adiciones mayores de maquinaria y equipos
4.04.01.02.01;Reparaciones, mejoras y adiciones mayores de maquinaria y demás equipos de construcción, campo, industria y taller
4.04.01.02.02;Reparaciones, mejoras y adiciones mayores de equipos de transporte, tracción y elevación
4.04.01.02.03;Reparaciones, mejoras y adiciones mayores de equipos de comunicaciones y de señalamiento
4.04.01.02.04;Reparaciones, mejoras y adiciones mayores de equipos médico - quirúrgicos, dentales y de veterinaria
4.04.01.02.05;Reparaciones, mejoras y adiciones mayores de equipos científicos, religiosos, de enseñanza y recreación
4.04.01.02.06;Reparaciones,	mejoras	y	adiciones	mayores	de	equipos	y armamentos de orden público, seguridad y defensa nacional
4.04.01.02.07;Reparaciones, mejoras y adiciones mayores de máquinas, muebles y demás equipos de oficina y alojamiento
4.04.01.02.99;Reparaciones, mejoras y adiciones mayores de otras maquinaria y equipos
4.04.02.00.00;Conservación, ampliaciones y mejoras mayores de obras
4.04.02.01.00;Conservación, ampliaciones y mejoras mayores de obras en bienes del dominio privado
4.04.02.02.00;Conservación, ampliaciones y mejoras mayores de obras en bienes del dominio público
4.04.03.00.00;Maquinaria y demás equipos de construcción, campo, industria y taller
4.04.03.01.00;Maquinaria y demás equipos de construcción y mantenimiento
4.04.03.02.00;Maquinaria y equipos para mantenimiento de automotores
4.04.03.03.00;Maquinaria y equipos agrícolas y pecuarios
4.04.03.04.00;Maquinaria y equipos de artes gráficas y reproducción
4.04.03.05.00;Maquinaria y equipos industriales y de taller
4.04.03.06.00;Maquinaria y equipos de energía
4.04.03.07.00;Maquinaria y equipos de riego y acueductos
4.04.03.08.00;Equipos de almacén
4.04.03.99.00;Otra maquinaria y demás equipos de construcción, campo, industria y taller
4.04.04.00.00;Equipos de transporte, tracción y elevación
4.04.04.01.00;Vehículos automotores terrestres
4.04.04.02.00;Equipos ferroviarios y de cables aéreos
4.04.04.03.00;Equipos marítimos de transporte
4.04.04.04.00;Equipos aéreos de transporte
4.04.04.05.00;Vehículos de tracción no motorizados
4.04.04.06.00;Equipos auxiliares de transporte
4.04.04.99.00;Otros equipos de transporte, tracción y elevación
4.04.05.00.00;Equipos de comunicaciones y de señalamiento
4.04.05.01.00;Equipos de telecomunicaciones
4.04.05.02.00;Equipos de señalamiento
4.04.05.03.00;Equipos de control de tráfico aéreo
4.04.05.04.00;Equipos de correo
4.04.05.99.00;Otros equipos de comunicaciones y de señalamiento
4.04.06.00.00;Equipos médico - quirúrgicos, dentales y de veterinaria
4.04.06.01.00;Equipos médico - quirúrgicos, dentales y de veterinaria
4.04.06.99.00;Otros equipos médico - quirúrgicos, dentales y de veterinaria
4.04.07.00.00;Equipos científicos, religiosos, de enseñanza y recreación
4.04.07.01.00;Equipos científicos y de laboratorio
4.04.07.02.00;Equipos de enseñanza, deporte y recreación
4.04.07.03.00;Obras de arte
4.04.07.04.00;Libros, revistas y otros instrumentos de enseñanzas
4.04.07.05.00;Equipos religiosos
4.04.07.06.00;Instrumentos musicales y equipos de audio
4.04.07.99.00;Otros equipos científicos, religiosos, de enseñanza y recreación
4.04.08.00.00;Equipos y armamentos de orden público, seguridad y defensa
4.04.08.01.00;Equipos y armamentos de orden público, seguridad y defensa nacional
4.04.08.02.00;Equipos y armamentos de seguridad para la custodia y resguardo personal
4.04.08.99.00;Otros equipos y armamentos de orden público,  seguridad y defensa
4.04.09.00.00;Máquinas, muebles y demás equipos de oficina y alojamiento
4.04.09.01.00;Mobiliario y equipos de oficina
4.04.09.02.00;Equipos de computación
4.04.09.03.00;Mobiliario y equipos de alojamiento
